minecraft:stone#0	minecraft:stone
minecraft:stone#1	minecraft:granite
minecraft:stone#2	minecraft:polished_granite
minecraft:stone#3	minecraft:diorite
minecraft:stone#4	minecraft:polished_diorite
minecraft:stone#5	minecraft:andesite
minecraft:stone#6	minecraft:polished_andesite
minecraft:grass	minecraft:grass_block
minecraft:dirt#0	minecraft:dirt
minecraft:dirt#1	minecraft:coarse_dirt
minecraft:dirt#2	minecraft:podzol
minecraft:planks#0	minecraft:oak_planks
minecraft:planks#1	minecraft:spruce_planks
minecraft:planks#2	minecraft:birch_planks
minecraft:planks#3	minecraft:jungle_planks
minecraft:planks#4	minecraft:acacia_planks
minecraft:planks#5	minecraft:dark_oak_planks
minecraft:sapling#0	minecraft:oak_sapling
minecraft:sapling#1	minecraft:spruce_sapling
minecraft:sapling#2	minecraft:birch_sapling
minecraft:sapling#3	minecraft:jungle_sapling
minecraft:sapling#4	minecraft:acacia_sapling
minecraft:sapling#5	minecraft:dark_oak_sapling
minecraft:sand#0	minecraft:sand
minecraft:sand#1	minecraft:red_sand
minecraft:log#0	minecraft:oak_log
minecraft:log#1	minecraft:spruce_log
minecraft:log#2	minecraft:birch_log
minecraft:log#3	minecraft:jungle_log
minecraft:log2#0	minecraft:acacia_log
minecraft:log2#1	minecraft:dark_oak_log
minecraft:leaves#0	minecraft:oak_leaves
minecraft:leaves#1	minecraft:spruce_leaves
minecraft:leaves#2	minecraft:birch_leaves
minecraft:leaves#3	minecraft:jungle_leaves
minecraft:leaves2#0	minecraft:acacia_leaves
minecraft:leaves2#1	minecraft:dark_oak_leaves
minecraft:sponge#0	minecraft:sponge
minecraft:sponge#1	minecraft:wet_sponge
minecraft:sandstone#0	minecraft:sandstone
minecraft:sandstone#1	minecraft:chiseled_sandstone
minecraft:sandstone#2	minecraft:cut_sandstone
minecraft:noteblock	minecraft:note_block
minecraft:golden_rail	minecraft:powered_rail
minecraft:web	minecraft:cobweb
minecraft:tallgrass#1	minecraft:grass
minecraft:tallgrass#2	minecraft:fern
minecraft:deadbush	minecraft:dead_bush
minecraft:piston_extension	minecraft:moving_piston
minecraft:wool#0	minecraft:white_wool
minecraft:wool#1	minecraft:orange_wool
minecraft:wool#2	minecraft:magenta_wool
minecraft:wool#3	minecraft:light_blue_wool
minecraft:wool#4	minecraft:yellow_wool
minecraft:wool#5	minecraft:lime_wool
minecraft:wool#6	minecraft:pink_wool
minecraft:wool#7	minecraft:gray_wool
minecraft:wool#8	minecraft:light_gray_wool
minecraft:wool#9	minecraft:cyan_wool
minecraft:wool#10	minecraft:purple_wool
minecraft:wool#11	minecraft:blue_wool
minecraft:wool#12	minecraft:brown_wool
minecraft:wool#13	minecraft:green_wool
minecraft:wool#14	minecraft:red_wool
minecraft:wool#15	minecraft:black_wool
minecraft:yellow_flower	minecraft:dandelion
minecraft:red_flower#0	minecraft:poppy
minecraft:red_flower#1	minecraft:blue_orchid
minecraft:red_flower#2	minecraft:allium
minecraft:red_flower#3	minecraft:azure_bluet
minecraft:red_flower#4	minecraft:red_tulip
minecraft:red_flower#5	minecraft:orange_tulip
minecraft:red_flower#6	minecraft:white_tulip
minecraft:red_flower#7	minecraft:pink_tulip
minecraft:red_flower#8	minecraft:oxeye_daisy
minecraft:wooden_slab#0	minecraft:oak_slab
minecraft:wooden_slab#1	minecraft:spruce_slab
minecraft:wooden_slab#2	minecraft:birch_slab
minecraft:wooden_slab#3	minecraft:jungle_slab
minecraft:wooden_slab#4	minecraft:acacia_slab
minecraft:wooden_slab#5	minecraft:dark_oak_slab
minecraft:stone_slab#0	minecraft:stone_slab
minecraft:stone_slab#1	minecraft:sandstone_slab
minecraft:stone_slab#2	minecraft:petrified_oak_slab
minecraft:stone_slab#3	minecraft:cobblestone_slab
minecraft:stone_slab#4	minecraft:brick_slab
minecraft:stone_slab#5	minecraft:stone_brick_slab
minecraft:stone_slab#6	minecraft:nether_brick_slab
minecraft:stone_slab#7	minecraft:quartz_slab
minecraft:stone_slab2	minecraft:red_sandstone_slab
minecraft:brick_block	minecraft:bricks
minecraft:mob_spawner	minecraft:spawner
minecraft:portal	minecraft:nether_portal
minecraft:stone_stairs	minecraft:cobblestone_stairs
minecraft:wooden_pressure_plate	minecraft:oak_pressure_plate
minecraft:snow_layer	minecraft:snow
minecraft:snow	minecraft:snow_block
minecraft:fence	minecraft:oak_fence
minecraft:pumpkin	minecraft:carved_pumpkin
minecraft:lit_pumpkin	minecraft:jack_o_lantern
minecraft:trapdoor	minecraft:oak_trapdoor
minecraft:monster_egg#0	minecraft:infested_stone
minecraft:monster_egg#1	minecraft:infested_cobblestone
minecraft:monster_egg#2	minecraft:infested_stone_bricks
minecraft:monster_egg#3	minecraft:infested_mossy_stone_bricks
minecraft:monster_egg#4	minecraft:infested_cracked_stone_bricks
minecraft:monster_egg#5	minecraft:infested_chiseled_stone_bricks
minecraft:stonebrick#0	minecraft:stone_bricks
minecraft:stonebrick#1	minecraft:mossy_stone_bricks
minecraft:stonebrick#2	minecraft:cracked_stone_bricks
minecraft:stonebrick#3	minecraft:chiseled_stone_bricks
minecraft:melon_block	minecraft:melon
minecraft:fence_gate	minecraft:oak_fence_gate
minecraft:waterlily	minecraft:lily_pad
minecraft:nether_brick	minecraft:nether_bricks
minecraft:end_bricks	minecraft:end_stone_bricks
minecraft:cobblestone_wall#0	minecraft:cobblestone_wall
minecraft:cobblestone_wall#1	minecraft:mossy_cobblestone_wall
minecraft:wooden_button	minecraft:oak_button
minecraft:anvil#0	minecraft:anvil
minecraft:anvil#1	minecraft:chipped_anvil
minecraft:anvil#2	minecraft:damaged_anvil
minecraft:quartz_ore	minecraft:nether_quartz_ore
minecraft:quartz_block#0	minecraft:quartz_block
minecraft:quartz_block#1	minecraft:chiseled_quartz_block
minecraft:quartz_block#2	minecraft:quartz_pillar
minecraft:stained_hardened_clay#0	minecraft:white_terracotta
minecraft:stained_hardened_clay#1	minecraft:orange_terracotta
minecraft:stained_hardened_clay#2	minecraft:magenta_terracotta
minecraft:stained_hardened_clay#3	minecraft:light_blue_terracotta
minecraft:stained_hardened_clay#4	minecraft:yellow_terracotta
minecraft:stained_hardened_clay#5	minecraft:lime_terracotta
minecraft:stained_hardened_clay#6	minecraft:pink_terracotta
minecraft:stained_hardened_clay#7	minecraft:gray_terracotta
minecraft:stained_hardened_clay#8	minecraft:light_gray_terracotta
minecraft:stained_hardened_clay#9	minecraft:cyan_terracotta
minecraft:stained_hardened_clay#10	minecraft:purple_terracotta
minecraft:stained_hardened_clay#11	minecraft:blue_terracotta
minecraft:stained_hardened_clay#12	minecraft:brown_terracotta
minecraft:stained_hardened_clay#13	minecraft:green_terracotta
minecraft:stained_hardened_clay#14	minecraft:red_terracotta
minecraft:stained_hardened_clay#15	minecraft:black_terracotta
minecraft:carpet#0	minecraft:white_carpet
minecraft:carpet#1	minecraft:orange_carpet
minecraft:carpet#2	minecraft:magenta_carpet
minecraft:carpet#3	minecraft:light_blue_carpet
minecraft:carpet#4	minecraft:yellow_carpet
minecraft:carpet#5	minecraft:lime_carpet
minecraft:carpet#6	minecraft:pink_carpet
minecraft:carpet#7	minecraft:gray_carpet
minecraft:carpet#8	minecraft:light_gray_carpet
minecraft:carpet#9	minecraft:cyan_carpet
minecraft:carpet#10	minecraft:purple_carpet
minecraft:carpet#11	minecraft:blue_carpet
minecraft:carpet#12	minecraft:brown_carpet
minecraft:carpet#13	minecraft:green_carpet
minecraft:carpet#14	minecraft:red_carpet
minecraft:carpet#15	minecraft:black_carpet
minecraft:hardened_clay	minecraft:terracotta
minecraft:slime	minecraft:slime_block
minecraft:double_plant#0	minecraft:sunflower
minecraft:double_plant#1	minecraft:lilac
minecraft:double_plant#2	minecraft:tall_grass
minecraft:double_plant#3	minecraft:large_fern
minecraft:double_plant#4	minecraft:rose_bush
minecraft:double_plant#5	minecraft:peony
minecraft:stained_glass#0	minecraft:white_stained_glass
minecraft:stained_glass#1	minecraft:orange_stained_glass
minecraft:stained_glass#2	minecraft:magenta_stained_glass
minecraft:stained_glass#3	minecraft:light_blue_stained_glass
minecraft:stained_glass#4	minecraft:yellow_stained_glass
minecraft:stained_glass#5	minecraft:lime_stained_glass
minecraft:stained_glass#6	minecraft:pink_stained_glass
minecraft:stained_glass#7	minecraft:gray_stained_glass
minecraft:stained_glass#8	minecraft:light_gray_stained_glass
minecraft:stained_glass#9	minecraft:cyan_stained_glass
minecraft:stained_glass#10	minecraft:purple_stained_glass
minecraft:stained_glass#11	minecraft:blue_stained_glass
minecraft:stained_glass#12	minecraft:brown_stained_glass
minecraft:stained_glass#13	minecraft:green_stained_glass
minecraft:stained_glass#14	minecraft:red_stained_glass
minecraft:stained_glass#15	minecraft:black_stained_glass
minecraft:stained_glass_pane#0	minecraft:white_stained_glass_pane
minecraft:stained_glass_pane#1	minecraft:orange_stained_glass_pane
minecraft:stained_glass_pane#2	minecraft:magenta_stained_glass_pane
minecraft:stained_glass_pane#3	minecraft:light_blue_stained_glass_pane
minecraft:stained_glass_pane#4	minecraft:yellow_stained_glass_pane
minecraft:stained_glass_pane#5	minecraft:lime_stained_glass_pane
minecraft:stained_glass_pane#6	minecraft:pink_stained_glass_pane
minecraft:stained_glass_pane#7	minecraft:gray_stained_glass_pane
minecraft:stained_glass_pane#8	minecraft:light_gray_stained_glass_pane
minecraft:stained_glass_pane#9	minecraft:cyan_stained_glass_pane
minecraft:stained_glass_pane#10	minecraft:purple_stained_glass_pane
minecraft:stained_glass_pane#11	minecraft:blue_stained_glass_pane
minecraft:stained_glass_pane#12	minecraft:brown_stained_glass_pane
minecraft:stained_glass_pane#13	minecraft:green_stained_glass_pane
minecraft:stained_glass_pane#14	minecraft:red_stained_glass_pane
minecraft:stained_glass_pane#15	minecraft:black_stained_glass_pane
minecraft:prismarine#0	minecraft:prismarine
minecraft:prismarine#1	minecraft:prismarine_bricks
minecraft:prismarine#2	minecraft:dark_prismarine
minecraft:red_sandstone#0	minecraft:red_sandstone
minecraft:red_sandstone#1	minecraft:chiseled_red_sandstone
minecraft:red_sandstone#2	minecraft:cut_red_sandstone
minecraft:magma	minecraft:magma_block
minecraft:red_nether_brick	minecraft:red_nether_bricks
minecraft:silver_shulker_box	minecraft:light_gray_shulker_box
minecraft:silver_glazed_terracotta	minecraft:light_gray_glazed_terracotta
minecraft:concrete#0	minecraft:white_concrete
minecraft:concrete#1	minecraft:orange_concrete
minecraft:concrete#2	minecraft:magenta_concrete
minecraft:concrete#3	minecraft:light_blue_concrete
minecraft:concrete#4	minecraft:yellow_concrete
minecraft:concrete#5	minecraft:lime_concrete
minecraft:concrete#6	minecraft:pink_concrete
minecraft:concrete#7	minecraft:gray_concrete
minecraft:concrete#8	minecraft:light_gray_concrete
minecraft:concrete#9	minecraft:cyan_concrete
minecraft:concrete#10	minecraft:purple_concrete
minecraft:concrete#11	minecraft:blue_concrete
minecraft:concrete#12	minecraft:brown_concrete
minecraft:concrete#13	minecraft:green_concrete
minecraft:concrete#14	minecraft:red_concrete
minecraft:concrete#15	minecraft:black_concrete
minecraft:concrete_powder#0	minecraft:white_concrete_powder
minecraft:concrete_powder#1	minecraft:orange_concrete_powder
minecraft:concrete_powder#2	minecraft:magenta_concrete_powder
minecraft:concrete_powder#3	minecraft:light_blue_concrete_powder
minecraft:concrete_powder#4	minecraft:yellow_concrete_powder
minecraft:concrete_powder#5	minecraft:lime_concrete_powder
minecraft:concrete_powder#6	minecraft:pink_concrete_powder
minecraft:concrete_powder#7	minecraft:gray_concrete_powder
minecraft:concrete_powder#8	minecraft:light_gray_concrete_powder
minecraft:concrete_powder#9	minecraft:cyan_concrete_powder
minecraft:concrete_powder#10	minecraft:purple_concrete_powder
minecraft:concrete_powder#11	minecraft:blue_concrete_powder
minecraft:concrete_powder#12	minecraft:brown_concrete_powder
minecraft:concrete_powder#13	minecraft:green_concrete_powder
minecraft:concrete_powder#14	minecraft:red_concrete_powder
minecraft:concrete_powder#15	minecraft:black_concrete_powder
minecraft:wooden_door	minecraft:oak_door
minecraft:coal#0	minecraft:coal
minecraft:coal#1	minecraft:charcoal
minecraft:golden_apple#0	minecraft:golden_apple
minecraft:golden_apple#1	minecraft:enchanted_golden_apple
minecraft:sign	minecraft:oak_sign
minecraft:boat	minecraft:oak_boat
minecraft:reeds	minecraft:sugar_cane
minecraft:fish#0	minecraft:cod
minecraft:fish#1	minecraft:salmon
minecraft:fish#2	minecraft:tropical_fish
minecraft:fish#3	minecraft:pufferfish
minecraft:cooked_fish#0	minecraft:cooked_cod
minecraft:cooked_fish#1	minecraft:cooked_salmon
minecraft:dye#15	minecraft:bone_meal
minecraft:dye#14	minecraft:orange_dye
minecraft:dye#13	minecraft:magenta_dye
minecraft:dye#12	minecraft:light_blue_dye
minecraft:dye#11	minecraft:dandelion_yellow
minecraft:dye#10	minecraft:lime_dye
minecraft:dye#9	minecraft:pink_dye
minecraft:dye#8	minecraft:gray_dye
minecraft:dye#7	minecraft:light_gray_dye
minecraft:dye#6	minecraft:cyan_dye
minecraft:dye#5	minecraft:purple_dye
minecraft:dye#4	minecraft:lapis_lazuli
minecraft:dye#3	minecraft:cocoa_beans
minecraft:dye#2	minecraft:cactus_green
minecraft:dye#1	minecraft:rose_red
minecraft:dye#0	minecraft:ink_sac
minecraft:bed#0	minecraft:white_bed
minecraft:bed#1	minecraft:orange_bed
minecraft:bed#2	minecraft:magenta_bed
minecraft:bed#3	minecraft:light_blue_bed
minecraft:bed#4	minecraft:yellow_bed
minecraft:bed#5	minecraft:lime_bed
minecraft:bed#6	minecraft:pink_bed
minecraft:bed#7	minecraft:gray_bed
minecraft:bed#8	minecraft:light_gray_bed
minecraft:bed#9	minecraft:cyan_bed
minecraft:bed#10	minecraft:purple_bed
minecraft:bed#11	minecraft:blue_bed
minecraft:bed#12	minecraft:brown_bed
minecraft:bed#13	minecraft:green_bed
minecraft:bed#14	minecraft:red_bed
minecraft:bed#15	minecraft:black_bed
minecraft:melon	minecraft:melon_slice
minecraft:speckled_melon	minecraft:glistering_melon_slice
minecraft:spawn_egg{EntityTag:{id:"minecraft:bat"}}	minecraft:bat_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:blaze"}}	minecraft:blaze_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:cave_spider"}}	minecraft:cave_spider_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:chicken"}}	minecraft:chicken_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:cow"}}	minecraft:cow_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:creeper"}}	minecraft:creeper_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:donkey"}}	minecraft:donkey_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:elder_guardian"}}	minecraft:elder_guardian_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:enderman"}}	minecraft:enderman_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:endermite"}}	minecraft:endermite_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:evocation_illager"}}	minecraft:evoker_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:ghast"}}	minecraft:ghast_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:guardian"}}	minecraft:guardian_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:horse"}}	minecraft:horse_spawn_egg
minecraft:spawn_egg{EntityTag:{id:"minecraft:husk"}}	minecraft:husk_spawn_egg
