net/minecraft/block/Block,field_149764_J,blockMaterial,material
net/minecraft/block/Block,field_149770_b,unlocalizedName,translationKey
net/minecraft/block/Block,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/Block,func_149663_c,setUnlocalizedName,setTranslationKey
net/minecraft/block/Block,func_149708_J,getCreativeTabToDisplayOn,getCreativeTab
net/minecraft/block/Block,func_149739_a,getUnlocalizedName,getTranslationKey
net/minecraft/block/Block,func_176206_d,onBlockDestroyedByPlayer,onPlayerDestroy
net/minecraft/block/Block,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/Block,func_180652_a,onBlockDestroyedByExplosion,onExplosionDestroy
net/minecraft/block/Block,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockBasePressurePlate,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/BlockBasePressurePlate,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockBeacon,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockBed,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/BlockBed,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockBrewingStand,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockBush,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockButton,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockCactus,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockCactus,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockCake,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockCauldron,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockChorusFlower,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockChorusPlant,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockCocoa,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockDirt$DirtType,field_176929_g,unlocalizedName,translationKey
net/minecraft/block/BlockDirt$DirtType,func_176927_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockDoor,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/BlockDoor,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockDoublePlant$EnumPlantType,field_176947_j,unlocalizedName,translationKey
net/minecraft/block/BlockDoublePlant$EnumPlantType,func_176939_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockEndPortal,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockEndRod,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/BlockEndRod,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockFire,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockFlower$EnumFlowerType,field_176977_o,unlocalizedName,translationKey
net/minecraft/block/BlockFlower$EnumFlowerType,func_176963_d,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockFlowerPot,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockGlass,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockGlazedTerracotta,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/BlockGrass,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockHopper,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockIce,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/BlockIce,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockLadder,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockLeaves,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockLilyPad,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockLiquid,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockMobSpawner,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockPane,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockPistonMoving,func_176206_d,onBlockDestroyedByPlayer,onPlayerDestroy
net/minecraft/block/BlockPlanks$EnumType,field_176848_j,unlocalizedName,translationKey
net/minecraft/block/BlockPlanks$EnumType,func_176840_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockPortal,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockPortal,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockPrismarine$EnumType,field_176812_g,unlocalizedName,translationKey
net/minecraft/block/BlockPrismarine$EnumType,func_176809_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockPurpurSlab,func_150002_b,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockQuartz$EnumType,field_176806_i,unlocalizedName,translationKey
net/minecraft/block/BlockRailBase,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/BlockRailBase,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockRailDetector,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockRedSandstone$EnumType,field_176830_g,unlocalizedName,translationKey
net/minecraft/block/BlockRedSandstone$EnumType,func_176828_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockRedstoneDiode,func_176206_d,onBlockDestroyedByPlayer,onPlayerDestroy
net/minecraft/block/BlockRedstoneDiode,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockRedstoneWire,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockReed,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockSand$EnumType,field_176691_g,unlocalizedName,translationKey
net/minecraft/block/BlockSand$EnumType,func_176685_d,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockSandStone$EnumType,field_176678_g,unlocalizedName,translationKey
net/minecraft/block/BlockSandStone$EnumType,func_176676_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockShulkerBox,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/BlockSilverfish$EnumType,field_176891_j,unlocalizedName,translationKey
net/minecraft/block/BlockSilverfish$EnumType,func_176882_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockSlab,func_150002_b,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockSlime,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockSoulSand,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockStainedGlass,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockStainedGlassPane,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockStairs,func_176206_d,onBlockDestroyedByPlayer,onPlayerDestroy
net/minecraft/block/BlockStairs,func_180652_a,onBlockDestroyedByExplosion,onExplosionDestroy
net/minecraft/block/BlockStairs,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockStone$EnumType,field_176654_k,unlocalizedName,translationKey
net/minecraft/block/BlockStone$EnumType,func_176644_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockStoneBrick$EnumType,field_176622_h,unlocalizedName,translationKey
net/minecraft/block/BlockStoneBrick$EnumType,func_176614_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockStoneSlab,func_150002_b,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockStoneSlab$EnumType,field_176635_l,unlocalizedName,translationKey
net/minecraft/block/BlockStoneSlab$EnumType,func_176627_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockStoneSlabNew,func_150002_b,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockStoneSlabNew$EnumType,func_176918_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockStructureVoid,func_149656_h,getMobilityFlag,getPushReaction
net/minecraft/block/BlockTNT,func_176206_d,onBlockDestroyedByPlayer,onPlayerDestroy
net/minecraft/block/BlockTNT,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockTNT,func_180652_a,onBlockDestroyedByExplosion,onExplosionDestroy
net/minecraft/block/BlockTorch,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockTrapDoor,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockTripWire,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
